HouseholdID,Longitude,Latitude,N,order,cluster,latmean,lngmean
UU39,34.12494582,-0.417382827,13,1,1,-0.419725191,34.12210779
UU38,34.12504185,-0.416089537,1,2,1,-0.419725191,34.12210779
UU99,34.12467995,-0.415871323,3,3,1,-0.419725191,34.12210779
UU06,34.12304808,-0.415723448,5,4,1,-0.419725191,34.12210779
UU36,34.12349354,-0.414856267,14,5,1,-0.419725191,34.12210779
UU33,34.12440489,-0.413945899,12,6,1,-0.419725191,34.12210779
UU10,34.12383778,-0.413786578,7,7,1,-0.419725191,34.12210779
UU34,34.12390163,-0.412942032,1,8,1,-0.419725191,34.12210779
UU09,34.12277248,-0.414161334,4,9,1,-0.419725191,34.12210779
UU35,34.12192426,-0.414442374,7,10,1,-0.419725191,34.12210779
UU11,34.12151214,-0.411632657,18,11,1,-0.419725191,34.12210779
UU12,34.12120679,-0.410993685,4,12,1,-0.419725191,34.12210779
UU13,34.12115688,-0.413305591,4,13,1,-0.419725191,34.12210779
UU14,34.12117493,-0.413355752,4,14,1,-0.419725191,34.12210779
UU16,34.121083,-0.413390729,2,15,1,-0.419725191,34.12210779
UU15,34.12105319,-0.413348048,4,16,1,-0.419725191,34.12210779
UU17,34.12090292,-0.413788636,3,17,1,-0.419725191,34.12210779
UU37,34.12014513,-0.414401254,1,18,1,-0.419725191,34.12210779
UU07,34.12005988,-0.414404137,7,19,1,-0.419725191,34.12210779
UU08,34.12008865,-0.414423702,3,20,1,-0.419725191,34.12210779
UU05,34.12279814,-0.416449741,8,21,1,-0.419725191,34.12210779
UU18,34.12227071,-0.417892452,8,22,1,-0.419725191,34.12210779
UG27,34.12224815,-0.420078726,7,23,1,-0.419725191,34.12210779
UG26,34.11998779,-0.419946387,14,24,1,-0.419725191,34.12210779
UG28,34.12070775,-0.42173665,1,25,1,-0.419725191,34.12210779
UG29,34.12033782,-0.422531335,4,26,1,-0.419725191,34.12210779
UG30,34.12149521,-0.422547349,5,27,1,-0.419725191,34.12210779
UG40,34.12161416,-0.423202736,9,28,1,-0.419725191,34.12210779
UG31,34.12228624,-0.422264268,4,29,1,-0.419725191,34.12210779
UG32,34.12254973,-0.422635756,6,30,1,-0.419725191,34.12210779
UG33,34.12272498,-0.423157511,7,31,1,-0.419725191,34.12210779
UG37,34.12325185,-0.423195012,11,32,1,-0.419725191,34.12210779
UQ58,34.12435257,-0.422731151,17,33,1,-0.419725191,34.12210779
UG38,34.12394916,-0.423047417,1,34,1,-0.419725191,34.12210779
UG39,34.12335928,-0.423500794,7,35,1,-0.419725191,34.12210779
UG45,34.12292999,-0.423939735,2,36,1,-0.419725191,34.12210779
UG36,34.1222287,-0.424205557,9,37,1,-0.419725191,34.12210779
UG50,34.12161278,-0.424325545,10,38,1,-0.419725191,34.12210779
UG23,34.12125246,-0.425119654,3,39,1,-0.419725191,34.12210779
UG22,34.12114778,-0.425193421,2,40,1,-0.419725191,34.12210779
UG21,34.12141074,-0.425289766,3,41,1,-0.419725191,34.12210779
UG19,34.12144219,-0.425506053,3,42,1,-0.419725191,34.12210779
UG17,34.12138872,-0.425576335,4,43,1,-0.419725191,34.12210779
UG20,34.12155055,-0.42552439,1,44,1,-0.419725191,34.12210779
UG18,34.12156407,-0.425522769,4,45,1,-0.419725191,34.12210779
UG15,34.12169963,-0.425478936,1,46,1,-0.419725191,34.12210779
UG14,34.12166688,-0.425530663,1,47,1,-0.419725191,34.12210779
UG24,34.12166827,-0.425912538,2,48,1,-0.419725191,34.12210779
UG13,34.12165429,-0.42595529,6,49,1,-0.419725191,34.12210779
UG10,34.12180517,-0.426015817,5,50,1,-0.419725191,34.12210779
UG11,34.12183597,-0.426120303,2,51,2,-0.426725202,34.12582925
UG12,34.12191556,-0.426124022,3,52,2,-0.426725202,34.12582925
UG03,34.12190426,-0.426218987,1,53,2,-0.426725202,34.12582925
UG04,34.12190797,-0.426182579,4,54,2,-0.426725202,34.12582925
UG35,34.12205586,-0.426243193,4,55,2,-0.426725202,34.12582925
UG25,34.12199376,-0.42598817,4,56,2,-0.426725202,34.12582925
